[scene 5 french-haitian-unification] …streaming (27s, reasoning 2337 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (47s, reasoning 4285 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (67s, reasoning 6654 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (88s, reasoning 8599 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (108s, reasoning 10505 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (128s, reasoning 12353 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (148s, reasoning 14499 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (168s, reasoning 16415 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (188s, reasoning 18298 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (208s, reasoning 20071 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (228s, reasoning 21854 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (249s, reasoning 23401 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (269s, reasoning 24873 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (289s, reasoning 26865 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (309s, reasoning 28836 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (330s, reasoning 30596 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (350s, reasoning 32363 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (370s, reasoning 33975 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (390s, reasoning 35754 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (410s, reasoning 37301 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (431s, reasoning 38907 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (451s, reasoning 40585 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (471s, reasoning 42199 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (491s, reasoning 43957 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (512s, reasoning 45484 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (532s, reasoning 47040 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (552s, reasoning 48649 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (572s, reasoning 50057 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (592s, reasoning 51160 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (612s, reasoning 53054 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (633s, reasoning 54749 chars, content 0 chars)
[scene 5 french-haitian-unification] …streaming (653s, reasoning 55377 chars, content 1583 chars)
[scene 5 french-haitian-unification] …streaming (673s, reasoning 55377 chars, content 3385 chars)
[scene 5 french-haitian-unification] …streaming (693s, reasoning 55377 chars, content 5364 chars)
[scene 5 french-haitian-unification] …streaming (713s, reasoning 55377 chars, content 7310 chars)
[scene 5 french-haitian-unification] …streaming (734s, reasoning 55377 chars, content 9338 chars)
[scene 5 french-haitian-unification] …streaming (754s, reasoning 55377 chars, content 11316 chars)
[scene 5 french-haitian-unification] …streaming (774s, reasoning 55377 chars, content 13596 chars)
[scene 5 french-haitian-unification] …streaming (794s, reasoning 55377 chars, content 15582 chars)
[scene 5 french-haitian-unification] …streaming (814s, reasoning 55377 chars, content 17520 chars)
[scene 5 french-haitian-unification] …streaming (834s, reasoning 55377 chars, content 19410 chars)
[scene 5 french-haitian-unification] …streaming (854s, reasoning 55377 chars, content 21426 chars)
[scene 5 french-haitian-unification] …streaming (874s, reasoning 55377 chars, content 23504 chars)
[scene 5 french-haitian-unification] …streaming (894s, reasoning 55377 chars, content 25383 chars)
[scene 5 french-haitian-unification] …streaming (915s, reasoning 55377 chars, content 27381 chars)
[scene 5 french-haitian-unification] …streaming (935s, reasoning 55377 chars, content 29655 chars)
[scene 5 french-haitian-unification] …streaming (955s, reasoning 55377 chars, content 31768 chars)
[scene 5 french-haitian-unification] …streaming (975s, reasoning 55377 chars, content 33750 chars)
[scene 5 french-haitian-unification] ok in 991.2s — completion 32859 tok (reasoning 18202), finish stop, 35254 chars visible
Scene generation done.
